TmeanDiaria,TmaxDiaria,TminDiaria,TmaxVector,TminVector,TmediaVector,Indíce_Estrés,Máx Min,GDH,GDD,hMenor10C,dias5hMayor10,hMenor7C,Richardson,Unrath,hMenor6C,hMenor12C,hMenor18C,ET0,HRrad12,Radiaciín_Máx,Energía,max_viento,PP,TOP,DDPF
12.8544444444444,20.0711111111111,7.02444444444444,27.4,1.8,73.7874074074074,13186.84,162.05,8918.01231494886,155.158333333333,316.5,32,80.75,72,302.2,46.75,546,907.3,132.2341,11.8311111111111,774.133333333333,683.8364,2.31555555555556,61.6,89.8,136
23.5657912457912,6.99055345117845,64.1381578947368,30.3,2.9,64.1381578947368,29710,237.517755681818,10806.9780316277,232.258333333333,274,29,85,-263,-201,41,432,771,163.20457,12.3777777777778,851.4,798.0732,3.76222222222222,7.2,158,127
14.9755555555556,22.8711111111111,8.36888888888889,33.2,3.9,70.1333333333333,24559,253.9,11255.8,237,205.25,23,27.25,-326.6,-220.6,13,382.75,769.75,122.4,12.6222222222222,846.6,668,3.65111111111111,46.8,171,123
15.0311111111111,23.2911111111111,7.81111111111111,30.7,2.1,63.7733333333333,32731,250.9,11369.6,244.1,226,26,53.25,-360.8,-254.4,33,404.75,746,105.8,12.6055555555556,826.911111111111,545.9,2.69555555555556,5.4,190.4,122
15.4333333333333,24.0111111111111,7.82666666666667,30.4,0.8,67.4933333333333,30501,267.2,11771.1,263,216.5,23,51.75,-432.8,-337.9,33,368.25,719.5,145.6,12.6666666666667,920.666666666667,815,3.28,7.8,194.8,119
13.68,20.5355555555556,7.39111111111111,28.9,2,68.5266666666667,19985,179.4,10023.3,194.2,272,28,99.25,-70.4,-7.6,59.5,424,863.75,163,12.9222222222222,847.711111111111,877.8,6.47111111111111,42.1,101.1,128
14.45,22.28,7.84,29.1,3.6,68.32,24863,228,10707,222,244,24,75,-243,325,38,419,789,173,13,883,927,6,67,182,127
13.9151157407407,21.9377777777778,6.95333333333333,28.3,2.6,66.6259722222222,26179,201.55,10173.0540462833,203.592708333333,305,32,90.25,-133,-77,47.5,462.25,828.25,173.86,12.5888888888889,881.066666666667,912.7752,6.79111111111111,10.2,137.05,130
14.7944675925926,22.2977777777778,8.70666666666667,28.8,4.4,68.7972222222222,24117.42,248.6,11378.1935931823,231.134375,192.5,17,45,-305,-190,21,366,784.5,473.75,3.53333333333333,850.177777777778,863.7174,2.32444444444444,55.6,174.5,123
14.8340740740741,22.3466666666667,8.58,34.7,1.8,68.0854166666667,26472.41,246.35,11081.6664346507,235.971875,201.5,18,55.25,-287.75,-191,29.25,355.75,799.25,463,3.54688888888889,828.911111111111,815.9229,2.93333333333333,38.8,146.5,125
14.6727777777778,23.2488888888889,7.42666666666667,31.7,1.3,74.1907407407407,22563.6,240.3,10803.8499693708,236.704166666667,245.5,25,89,-278.25,-202,59,404,779.5,453,2.55866666666667,731.131578947368,574.1262,1.53684210526316,59.4,169,124
14.4125462962963,23.2066666666667,7.16666666666667,33.5,0.5,75.174537037037,21917.49,233.8,10349.3467845449,229.663541666667,265.5,27,112,-233,-153,75,416.25,797,433.25,3.18177777777778,786.057142857143,577.6335,1.24,57.8,94.25,133
14.3844444444444,21.8133333333333,7.88888888888889,30.7,1.6,76.4711111111111,16591,220.4,10679.9,220.7,232.25,23,79.5,-219.3,-132.1,49.75,397.25,816.25,433.25,3.54,893.977777777778,895.8,2.65111111111111,64.6,155.9,133
14.5066666666667,21.7333333333333,8.42,31.3,1.5,69.3466666666667,22669,230,10901.4,219.7,189.25,17,53,-21.1,-132.9,31.25,399.5,809.25,448,3.25777777777778,874.777777777778,881.1,0.0888888888888889,48.6,156.3,129
14.7555555555556,23.2933333333333,7.76666666666667,34.5,1.2,74.7311111111111,23125,250.1,10592.9,237.9,252,27,75.5,-6.60000000000001,-214.2,50.5,422.5,773,442.5,3.31333333333333,810.822222222222,829.1,1.91333333333333,43.5,170.5,130
13.6888888888889,21.3844444444444,6.44888888888889,31.5,-0.7,60.7533333333333,33130,180.2,9906.9,205.5,314.75,31,117,55.7,-83.2,88.5,457.75,804.25,407.25,3.79111111111111,837.022222222222,822.2,3.22222222222222,54.7,158.8,129
